URL,443
https://desarrolloyempleo.cba.gov.ar/cy.css,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC1.txt,X,
https://desarrolloyempleo.cba.gov.ar/cz.html,X,
https://desarrolloyempleo.cba.gov.ar/czcmdcvt.php,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC3.txt,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC2.txt,X,
https://desarrolloyempleo.cba.gov.ar/cyberworld.css,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/WEB-INF.php,X,
https://desarrolloyempleo.cba.gov.ar/cycle_image.css,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/WEB-INF.html,X,
https://desarrolloyempleo.cba.gov.ar/cz.txt,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC3.json,X,
https://desarrolloyempleo.cba.gov.ar/czcmdcvt.html,X,
https://desarrolloyempleo.cba.gov.ar/d,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC1.json,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC2.json,X,
https://desarrolloyempleo.cba.gov.ar/da,X,
https://desarrolloyempleo.cba.gov.ar/daemon,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/WEB-INF.txt,X,
https://desarrolloyempleo.cba.gov.ar/cgi-bin/W3SVC3.xml,X,
https://desarrolloyempleo.cba.gov.ar/cz.json,X,
